object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	92.22	32.92	101.52	33.87	1.3687799504608738	None
0	23291	Fenerbahçe	2	58.88	43.75	75.36	40.54	1.1535366401671987	None
0	23375	Fenerbahçe	5	38.86	36.1	63.02	31.18	0.521605854055892	None
0	23423	Fenerbahçe	7	21.28	51.75	51.02	59.68	1.859353235878423	23375
0	23367	Fenerbahçe	9	13.64	30.71	47.16	33.44	4.260579660038889	None
0	23385	Fenerbahçe	11	11.91	39.08	53.39	17.34	0.13181782043890905	None
0	23383	Fenerbahçe	77	19.81	16.08	47.87	1.03	3.6514994661773237	None
0	23366	Fenerbahçe	16	9.95	58.72	49.94	31.32	2.6347809943318308	None
0	23359	Fenerbahçe	22	57.67	26.37	74.15	24.23	1.2793423538035007	None
0	23369	Fenerbahçe	88	34.82	62.78	63.87	62.78	0.7012262562052914	None
0	23354	Fenerbahçe	25	40.42	49.54	62.26	39.42	1.4370079031228744	None
4	23244	Galatasaray	67	1.64	37.99	5.62	33.04	0.6613229345924798	None
1	23357	Galatasaray	6	20.21	43.5	41.9	31.16	1.6205501108248381	None
1	23362	Galatasaray	8	22.09	57.7	44.75	37.25	1.3478325061029657	None
1	23287	Galatasaray	11	47.52	38.42	54.3	38.65	3.022328133850949	None
1	23260	Galatasaray	13	16.77	28.92	36.68	11.51	0.7909366832367452	None
1	23252	Galatasaray	17	39.82	19.07	50.99	13.55	2.03223912493691	None
1	23355	Galatasaray	3	36.31	48.7	44.72	25.8	1.7082836267271844	None
1	23256	Galatasaray	20	29.84	60.54	45.63	55.96	0.5863036269710173	None
1	23356	Galatasaray	21	15.51	46.21	33.69	35.44	0.8317581553708102	None
1	23399	Galatasaray	26	11.26	39.46	32.45	27.57	1.262677377049576	None
1	23360	Galatasaray	27	8.2	58.29	35.53	49.61	0.9131912064909729	None
2	23349	referee	90	28.61	50.88	54.41	43.98	2.274379937224817	None
