object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	92.22	32.92	102.55	33.85	0.9524660229271548	None
0	23291	Fenerbahçe	2	58.88	43.75	74.61	40.19	1.1775603361430114	None
0	23375	Fenerbahçe	5	38.86	36.1	62.92	31.41	0.868841154498774	None
0	23423	Fenerbahçe	7	21.28	51.75	52.43	59.3	0.9737308062701584	23383
0	23367	Fenerbahçe	9	13.64	30.71	50.47	33.64	2.180683586233148	None
0	23385	Fenerbahçe	11	11.91	39.08	53.43	17.37	0.04999999999999716	None
0	23383	Fenerbahçe	77	19.81	16.08	50.95	1.68	1.633618160308562	None
0	23366	Fenerbahçe	16	9.95	58.72	51.34	33.31	1.8853124095603686	None
0	23359	Fenerbahçe	22	57.67	26.37	73.49	24.94	1.6181999191355612	None
0	23369	Fenerbahçe	88	34.82	62.78	64.29	62.75	0.7088327605178981	None
0	23354	Fenerbahçe	25	40.42	49.54	63.43	39.11	0.44243127391236586	None
4	23244	Galatasaray	67	1.64	37.99	6.08	33.14	0.11951532750364041	None
1	23357	Galatasaray	6	20.21	43.5	40.72	31.44	0.655924397508035	None
1	23362	Galatasaray	8	22.09	57.7	44.58	38.39	0.6821589341118862	None
1	23287	Galatasaray	11	47.52	38.42	53.56	41.06	2.2599745630511467	None
1	23260	Galatasaray	13	16.77	28.92	36.57	11.69	0.26820337301919184	None
1	23252	Galatasaray	17	39.82	19.07	51.62	15.14	2.686064441427871	None
1	23355	Galatasaray	3	36.31	48.7	43.49	25.11	1.0360593991871032	None
1	23256	Galatasaray	20	29.84	60.54	45.96	56.02	0.42643828984374876	None
1	23356	Galatasaray	21	15.51	46.21	33.89	35.98	0.47568732530663294	None
1	23399	Galatasaray	26	11.26	39.46	31.57	28.13	0.26799048477513915	None
1	23360	Galatasaray	27	8.2	58.29	36.05	49.25	0.7804046032156184	None
2	23349	referee	90	28.61	50.88	56.14	43.39	1.4035084686367787	None
