object_type	object_id	team_name	jersey_number	x1	y1	x2	y2	speed	pass_to
3	23371	Fenerbahçe	1	95.95	32.05	103.02	34.28	0.20808652046684803	None
0	23291	Fenerbahçe	2	77.66	35.24	73.98	40.1	0.21023796041629222	None
0	23536	Fenerbahçe	5	61.81	26.14	62.53	31.65	0.08944271909999287	None
0	23519	Fenerbahçe	7	60.09	50.35	52.71	58.55	0.1431782106327643	None
0	23560	Fenerbahçe	9	44.87	34.96	52.43	33.8	0.21023796041628579	None
0	23576	Fenerbahçe	11	60.94	13.04	53.43	17.39	0.010000000000001563	None
0	23549	Fenerbahçe	77	74.64	14.92	52.33	1.69	0.25000000000000194	None
0	23366	Fenerbahçe	16	59.34	20.39	52.31	31.95	0.20808652046684428	None
0	23359	Fenerbahçe	22	69.9	27.11	72.99	26.11	0.3231098884280673	None
0	23369	Fenerbahçe	88	74.59	49.81	63.81	62.94	0.19026297590440958	None
0	23354	Fenerbahçe	25	56.56	36.99	63.62	38.78	0.050990195135924676	None
4	23244	Galatasaray	67	10.73	31.22	5.98	33.12	0.014142135623730021	None
1	23357	Galatasaray	6	43.86	34.63	40.19	31.47	0.06403124237432796	None
1	23362	Galatasaray	8	48.69	21.74	44.08	38.08	0.07071067811865475	23555
1	23287	Galatasaray	11	75.44	45.92	52.55	42.75	0.259422435421453	None
1	23555	Galatasaray	13	68.08472346786249	14.982480911404668	36.54	11.75	0.019999999999999574	23252
1	23252	Galatasaray	17	72.90875048962008	7.423125734430075	51.59	16.58	1.1498260738042076	None
1	23551	Galatasaray	3	70.74	27.39	42.69	25.06	0.22022715545544633	None
1	23256	Galatasaray	20	59.83	32.32	45.96	56.18	0.15556349186103965	None
1	23578	Galatasaray	21	46.17	41.19	33.76	36.39	0.04242640687119446	None
1	23469	Galatasaray	26	43.04	21.21	43.04	21.21	1.3661958041606523	None
1	23360	Galatasaray	27	63.76	62.29	35.98	48.63	0.15000000000000568	None
2	23349	referee	90	62.91	25.73	56.92	42.36	0.08062257748298532	None
