object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	95.07	30.99	95.07	30.99	0.2944416636	None
0	23291	Fenerbahçe	2	65.38	40.03	65.38	40.03	3.43295772178	None
0	23375	Fenerbahçe	5	64.17	22.19	64.17	22.19	2.91770742238	None
0	23340	Fenerbahçe	7	38.98	10.89	38.98	10.89	5.87557993427	None
0	23367	Fenerbahçe	9	18.34	13.54	18.34	13.54	3.98168178526	None
0	23385	Fenerbahçe	11	37.37	5.07	37.37	5.07	5.30438451724	None
0	23383	Fenerbahçe	77	39.15	11.15	39.15	11.15	4.11400670131	None
0	23366	Fenerbahçe	16	39.8	36.57	39.8	36.57	4.66126723048	None
0	23359	Fenerbahçe	22	60.01	11.02	60.01	11.02	1.30691194123	None
0	23369	Fenerbahçe	88	40.97	53.51	40.97	53.51	2.39751893924	None
0	23354	Fenerbahçe	25	42.56	22.23	42.56	22.23	5.10079752533	None
0	23398	Fenerbahçe	-1	30.54	9.7	30.54	9.7	7.73773173362	None
4	23244	Galatasaray	67	3.66	28.83	3.66	28.83	2.03222542354	None
1	23357	Galatasaray	6	32.93	13.3	32.93	13.3	6.00389916685	None
1	23362	Galatasaray	8	43.34	32.3	43.34	32.3	2.31580972428	None
1	23287	Galatasaray	11	66.35	23.44	66.35	23.44	1.45223748997	None
1	23396	Galatasaray	13	26.03	6.54	26.03	6.54	3.71994590159	None
1	23393	Galatasaray	17	45.67	5.03	45.67	5.03	1.90209516913	None
1	23355	Galatasaray	3	48.35	21.13	48.35	21.13	2.71141160864	None
1	23256	Galatasaray	20	30.97	47.73	30.97	47.73	2.65296708908	None
1	23356	Galatasaray	21	16.37	18.6	16.37	18.6	4.3416482408	None
1	23386	Galatasaray	26	18.05	14.84	18.05	14.84	3.92620159751	None
1	23360	Galatasaray	27	30.05	34.99	30.05	34.99	3.28395647925	None
2	23349	referee	90	36.96	28.14	36.96	28.14	4.26723080067	None
