object_type	object_ID	team_name	jersey_no	x1	y1	x2	y2	speed	passTo
3	23371	Fenerbahçe	1	95.07	30.99	94.92	31.19	0.500843419014	None
0	23291	Fenerbahçe	2	65.38	40.03	66.99	42.21	3.40426755949	None
0	23375	Fenerbahçe	5	64.17	22.19	66.49	22.25	3.0975347899	None
0	23340	Fenerbahçe	7	38.98	10.89	41.39	6.77	5.74918368064	None
0	23367	Fenerbahçe	9	18.34	13.54	20.75	15.0	5.11552264054	None
0	23385	Fenerbahçe	11	37.37	5.07	41.45	6.54	4.20099004893	None
0	23383	Fenerbahçe	77	39.15	11.15	41.73	9.26	4.60007321133	None
0	23366	Fenerbahçe	16	39.8	36.57	43.13	38.25	4.47127309449	None
0	23359	Fenerbahçe	22	60.01	11.02	60.25	10.01	1.99996884707	25@9@88
0	23369	Fenerbahçe	88	40.97	53.51	41.28	55.44	2.02914025127	None
0	23354	Fenerbahçe	25	42.56	22.23	46.63	22.3	5.19778165856	None
0	23398	Fenerbahçe	-1	30.54	9.7	34.65	4.88	1.35074053763	None
4	23244	Galatasaray	67	3.66	28.83	4.8	28.3	2.60179712611	None
1	23357	Galatasaray	6	32.93	13.3	37.7	12.38	5.25524608595	None
1	23362	Galatasaray	8	43.34	32.3	45.12	32.51	2.51683444037	None
1	23287	Galatasaray	11	66.35	23.44	67.47	22.99	1.44496338617	None
1	23396	Galatasaray	13	26.03	6.54	28.94	5.97	3.95880140167	None
1	23393	Galatasaray	17	45.67	5.03	46.9	4.16	1.8021476676	None
1	23355	Galatasaray	3	48.35	21.13	50.39	20.47	2.74748191582	None
1	23256	Galatasaray	20	30.97	47.73	32.81	48.49	3.26043362917	None
1	23356	Galatasaray	21	16.37	18.6	19.46	17.83	6.15193932125	None
1	23386	Galatasaray	26	18.05	14.84	20.68	15.13	6.26207520828	None
1	23360	Galatasaray	27	30.05	34.99	32.65	35.08	3.36832955694	None
2	23349	referee	90	36.96	28.14	39.96	29.72	4.23806006916	None
