object_type	object_id	team_name	jersey_number	x1	y1	x2	y2	speed	pass_to
3	23371	Fenerbahçe	1	96.5	32.79	96.19	32.9	1.3252658548529894	None
0	23291	Fenerbahçe	2	69.21	38.08	68.52	38.16	4.174491436547583	None
0	23375	Fenerbahçe	5	57.07	24.8	57.33	24.67	2.290972238058659	None
0	23340	Fenerbahçe	7	31.52	48.93	31.03	48.15	5.558308696438948	None
0	23367	Fenerbahçe	9	31.14	21.19	30.9	20.58	5.638970904113786	None
0	23385	Fenerbahçe	11	42.88	15.14	43.52	15.56	3.6073714657596003	None
0	23383	Fenerbahçe	77	41.52	7.8	40.27	7.35	7.435187185186411	None
0	23366	Fenerbahçe	16	34.88	16.62	34.25	15.73	6.920892933906058	None
0	23359	Fenerbahçe	22	67.95	18.54	67.88	18.52	2.841879202754697	None
0	23369	Fenerbahçe	88	54.93	60.09	54.52	60.09	2.554357078574056	None
0	23354	Fenerbahçe	25	50.68	35.74	50.99	35.79	2.516564597164554	None
4	23244	Galatasaray	67	4.55	30.61	4.41	30.78	1.0115211725793645	None
1	23357	Galatasaray	6	34.58	19.14	34.3	18.87	3.696214501585237	None
1	23362	Galatasaray	8	39.33	32.21	39.44	32.37	1.5480027399844811	None
1	23287	Galatasaray	11	46.38	27.92	46.2	28.28	2.171517495221705	None
1	23260	Galatasaray	13	40.17	15.25	40.1	15.87	4.621397606767176	None
1	23252	Galatasaray	17	40.34	8.56	39.38	8.33	5.8352588505650775	None
1	23355	Galatasaray	3	41.28	18.63	41.76	18.74	1.8452364963749062	None
1	23256	Galatasaray	20	34.55	49.1	34.18	48.82	4.030382148510998	None
1	23356	Galatasaray	21	28.82	26.39	29.09	26.5	1.6126254370601023	None
1	23386	Galatasaray	26	29.43	21.74	29.12	21.31	1.6296392903467405	None
1	23360	Galatasaray	27	28.82	41.82	29.03	41.4	2.7245885556707035	None
2	23349	referee	90	39.9	34.94	39.46	34.76	3.645127611227902	None
