object_type	object_id	team_name	jersey_number	x1	y1	x2	y2	speed	pass_to
3	23371	Fenerbahçe	1	100.13	33.8	100.03	33.62	1.2073990558710122	None
0	23291	Fenerbahçe	2	76.42	40.81	76.56	40.93	0.9097393928247761	None
0	23375	Fenerbahçe	5	63.02	29.73	63.01	29.38	1.5229108014841062	None
0	23340	Fenerbahçe	7	47.39	58.42	46.73	58.19	3.3548614286757497	None
0	23367	Fenerbahçe	9	41.85	32.91	41.0	32.73	4.460823855253365	None
0	23385	Fenerbahçe	11	54.6	16.63	54.92	15.89	1.9327952119943697	None
0	23383	Fenerbahçe	77	45.21	2.9	44.88	4.19	3.442410064375387	None
0	23366	Fenerbahçe	16	50.02	28.6	49.84	28.22	2.321384872887884	None
0	23359	Fenerbahçe	22	75.04	21.76	75.19	21.2	2.2568322272016843	None
0	23369	Fenerbahçe	88	62.07	62.7	61.76	62.65	1.5179471091537007	None
0	23354	Fenerbahçe	25	59.82	38.98	59.45	38.93	2.113209131867119	None
4	23244	Galatasaray	67	4.54	31.99	4.58	31.8	1.3527307688469334	23360
1	23357	Galatasaray	6	42.43	28.53	42.4	27.83	2.5434517113184127	None
1	23362	Galatasaray	8	44.88	36.09	44.88	36.13	1.0055799637433278	None
1	23287	Galatasaray	11	52.9	34.03	52.67	33.19	4.198246135771222	None
1	23260	Galatasaray	13	34.69	9.06	34.43	8.51	2.7066640152109946	None
1	23252	Galatasaray	17	50.85	12.39	51.11	12.21	1.1202967668657167	None
1	23355	Galatasaray	3	47.34	25.77	47.61	25.47	2.4920813997447544	None
1	23256	Galatasaray	20	44.5	54.78	44.31	54.49	1.4137933264692595	None
1	23356	Galatasaray	21	33.08	33.9	33.06	33.61	1.329433116585546	None
1	23386	Galatasaray	26	31.62	25.69	31.63	25.31	1.8573177285211977	None
1	23360	Galatasaray	27	10.696900173716319	5.668523815295124	34.11	48.26	1.4585299313979023	None
2	23349	referee	90	50.46	43.53	49.75	43.41	3.3793442773678732	None
