Q #	overal_risk	gain	pass_advantages	goal_chance	effectiveness_score
010a	0.0	35.4	0.7	0.8934802291420233	117.14348022914203
010b	0.0	23.6	0.8	0.042941572267430644	116.04294157226742
010c	0.00017009149319031404	23.6	0.8	0.4820018664903219	116.48200186649032
011a	0.0	11.8	1.1	0.5870080578990599	139.43700805789908
011b	0.0	11.8	1.3	0.6975683750926823	162.6475683750927
011c	0.0	23.6	0.9	0.5094115121107246	128.05941151211073
Q01a	0.006032000301121601	82.6	0.6	0.9605932929360067	152.860593292936
Q01b	0.0001256589265406002	35.4	1.0	0.9062456786326988	151.8062456786327
Q01c	0.0	35.4	1.0	0.6609596462885067	151.56095964628852
Q02a	0.0	82.6	0.6	0.9605932929360067	152.860593292936
Q02b	0.0	35.4	1.4	0.9062456786326988	198.0062456786327
Q02c	0.0	35.4	1.4	0.6609596462885067	197.7609596462885
Q03a	0.00016896518254757404	47.2	0.6	0.6499046830970773	117.14990468309708
Q03b	0.0	-35.4	1.4	0.0907239558102267	126.39072395581022
Q03c	0.0015214409417797323	11.8	1.1156503541482514	1.1716091215446391	141.82922502566768
Q04a	0.0	47.2	0.9	0.6499046830970773	151.79990468309708
Q04b	0.0	-35.4	1.7	0.0907239558102267	161.04072395581022
Q04c	0.0	11.8	1.3	1.1716091215446391	163.12160912154465
Q05a	0.0	23.6	1.5	0.013194177520445598	196.86319417752043
Q05b	0.0	70.8	1.1	2.7276993431816368	200.57769934318165
Q05c	0.0	0.0	1.7	0.08747562646053626	196.43747562646053
Q06a	0.0	-23.6	1.7	0.07170795887025043	172.82170795887026
Q06b	0.0	-23.6	1.2	0.011125874641894167	115.01112587464189
Q06c	0.0	-23.6	1.2	0.0042732881770643485	115.00427328817706
Q07a	0.0	11.8	1.2	0.7529620788523589	151.15296207885237
Q07b	0.0	23.6	1.1	1.1001549637759076	151.7501549637759
Q07c	0.0	35.4	0.9	0.5979013457957475	139.94790134579574
Q08a	0.0	70.8	2.0	1.254498812324381	303.05449881232437
Q08b	0.0	70.8	2.0	0.7160522702484816	302.5160522702485
Q08c	1.7462117301353987e-05	70.8	2.0	1.5265378470596858	303.3265378470597
Q09a	0.0	-11.8	1.3	0.011194227075055335	-1383.6119422707507
Q09b	0.0	-35.4	1.5	0.6495601173020528	-1384.9956011730205
Q09c	0.0	-35.4	1.5	0.554895116357476	-1384.0489511635747
Q12a	0.0	11.8	0.8	0.5751097483415517	104.77510974834155
Q12b	0.00023057122578426894	11.8	1.0	0.010688505769090827	127.3106885057691
Q12c	0.0	35.4	1.0	0.6609596462885067	151.56095964628852
