Q #	overal_risk	gain	pass_advantages	goal_chance	effectiveness_score
Q01a	253.68480553958477	7	0.13563953741991766	20.453831180099634	27.589470717519553
Q01b	22.045077171683836	3	1.0	16.143616541550262	20.143616541550262
Q01c	28.49164021502972	3	0.7	11.580796309558025	15.280796309558024
Q02a	36.11080996749094	4	0.6	28.207105622521293	32.80710562252129
Q02b	0.0	-3	1.4	3.057191412690445	1.4571914126904448
Q02c	59.466986768825706	1	0.4262417976435205	125.98457506321284	127.41081686085637
Q03a	7.214126083006983	2	0.813073387528964	0.8267801776031223	3.639853565132086
Q03b	91.65344036040847	6	1.0	64.73689865837812	71.73689865837812
Q03c	11.559004556132212	0	0.8	4.884722904670168	5.684722904670168
Q04a	0.0	-2	1.0	2.337248293002081	1.337248293002081
Q04b	0.0	-2	1.0	1.0245485592250796	0.02454855922507959
Q04c	0.0	-2	1.0	0.39437353051764934	-0.6056264694823507
Q05a	0.0	1	0.8	82.83564000252939	84.63564000252939
Q05b	0.0	2	0.8	124.17098913949296	126.97098913949296
Q05c	624.6051873048004	3	0.1008300386503846	64.08172619452694	67.18255623317732
Q06a	10.674327999330643	6	2.0	87.23254085389415	95.23254085389416
Q06b	0.0	6	2.0	79.2497645766839	87.2497645766839
Q06c	37.99711540514425	6	2.0	97.96257102252449	105.96257102252449
Q07a	2900.152588858206	-1	1.0	0.7609868538129828	-7.609868538129828
Q07b	5466.596652624724	-3	1.5	2.345371398001236	-8.45371398001236
Q07c	13434.198210667504	-3	1.0	6.743749558417172	-47.43749558417172
Q08a	17.996318869627437	3	0.26625259438611754	92.64976208124479	95.9160146756309
Q08b	16.30383013565464	2	0.4308718306955899	2.8903773485513344	5.321249179246925
Q08c	32.07057948868433	2	0.4308718306955899	6.421625931102569	8.852497761798158
Q09a	47.37158697252764	1	0.5811234265414321	65.69286175351353	67.27398518005496
Q09b	0.0	1	1.3	13.096071561492584	15.396071561492583
Q09c	7.053124410234077	2	0.9	57.49565599443844	60.395655994438435
Q10a	27.765578817712637	1	0.8	64.27785890762316	66.07785890762315
Q10b	32.3461021529123	1	1.0	0.430088971950632	2.430088971950632
Q10c	0.0	1	0.8	1.4195030326083709	3.2195030326083707
