Q #	overal_risk	gain	pass_advantages	goal_change	effectiveness_score
Q01a	73.71553676986896	7	0.5925539780829208	90.3086846544513	97.90123863253422
Q01b	6.9305154788026595	3	1.0	102.28506530843102	106.28506530843102
Q01c	0.0	3	1.0	31.88362023079619	35.88362023079619
Q02a	0.0	4	0.6	77.45846243368199	82.05846243368198
Q02b	0.0	-3	1.4	20.47944826415953	18.879448264159528
Q02c	11.36164427751794	1	1.2	125.98457506321284	128.18457506321283
Q03a	0.0	2	1.5	2.978369643441444	6.478369643441444
Q03b	8.237398565960047	6	1.1	307.86674302275804	314.96674302275807
Q03c	0.0	0	1.6	25.94408326983301	27.54408326983301
Q04a	0.0	-2	1.7	11.206756566689416	10.906756566689415
Q04b	0.0	-2	1.2	4.791659577701342	3.991659577701342
Q04c	0.0	-2	1.2	1.1569396193013706	0.3569396193013705
Q05a	0.0	1	1.1	82.83564000252939	84.93564000252938
Q05b	0.0	2	0.9	124.17098913949296	127.07098913949297
Q05c	156.20537225505572	3	0.5	64.08172619452694	67.58172619452694
Q06a	0.0	6	2.0	141.58	149.58
Q06b	0.0	0	2.0	83.9433792261804	91.94337922618035
Q06c	0.0	6	2.0	172.29546806542731	180.29546806542731
Q07a	908.3226299063565	-1	1.3	2.3746041588053157	-26.74604158805316
Q07b	1736.0636539025388	-3	1.5	73.31378299120233	-718.1378299120233
Q07c	3418.5813994369846	-3	1.5	62.629245638541306	-611.2924563854131
Q08a	0.0	3	0.7	92.64976208124479	96.34976208124479
Q08b	0.0	2	0.8	9.693357170977572	12.493357170977571
Q08c	0.0	2	0.8	26.747443634215124	29.547443634215124
Q09a	0.0	1	1.1	65.69286175351353	67.79286175351352
Q09b	0.0	1	1.3	78.73232224522376	81.03232224522375
Q09c	0.0	2	0.9	57.49565599443844	60.395655994438435
Q10a	0.0	1	1.0	64.27785890762316	66.27785890762316
Q10b	7.930076738927889	1	1.0	1.6530090622540037	3.6530090622540037
Q10c	0.0	1	1.0	5.692212242704364	7.692212242704364
