Pass Starting Point(X)	Pass Starting Point(Y)	Pass Ending Point(X)	Pass Ending Point(Y)	Status
5.91	23.02	26.85	6.21	T
37.84	4.22	49.32	3.76	T
14.53	13.97	22.17	4.09	T
25.18	3.95	17.98	23.05	T
25.09	33.01	3.84	38.93	T
3.59	36.38	29.58	58.78	F
14.2	30.26	94.53	20.26	F
51.33	9.73	60.25	1.03	F
3.36	27.43	48.98	8.42	F
46.36	9.4	83.49	20.19	F
34.6	10.0	48.65	9.46	T
52.57	7.58	38.86	25.83	T
39.96	29.69	52.21	57.29	T
77.79	67.62	79.38	67.47	T
72.73	66.96	66.34	61.28	T
64.73	60.66	59.61	42.8	T
58.7	40.92	60.75	48.37	T
57.14	47.44	56.66	49.97	F
75.7	30.21	100.79	29.6	F
73.06	5.11	66.49	14.99	T
67.89	14.17	63.4	10.71	T
59.83	14.06	58.91	23.93	F
31.37	58.14	35.64	56.83	T
41.38	51.54	49.31	43.61	T
56.02	40.51	59.47	63.3	T
90.32	44.83	82.92	40.04	T
85.95	33.59	102.2	31.28	F
47.16	29.73	49.03	29.4	T
47.54	33.96	46.98	33.28	T
50.13	27.17	46.81	19.51	T
46.84	13.87	51.03	7.25	T
55.39	2.14	61.36	-0.49	F
54.92	4.84	51.95	7.28	T
51.68	7.23	48.78	4.16	T
47.7	2.27	54.8	4.71	T
54.87	6.54	49.98	10.11	T
48.14	14.46	35.79	12.92	T
34.75	15.39	34.8	31.52	T
38.43	44.08	61.52	42.53	T
61.17	40.97	89.19	36.31	F
51.14	39.34	45.15	21.06	T
49.06	12.48	56.36	3.18	T
70.02	6.08	57.37	20.2	T
61.35	24.83	72.19	35.54	T
69.44	33.67	61.92	27.01	T
63.94	24.98	74.1	11.99	T
34.48	64.16	22.35	44.25	T
22.3	37.65	22.34	23.35	T
23.53	19.79	27.08	11.19	T
29.11	10.48	23.8	18.81	T
27.93	24.98	27.25	46.49	T
27.81	48.88	37.05	52.26	T
34.98	55.57	27.52	50.83	T
42.19	54.34	72.89	67.33	T
69.33	50.59	60.34	64.54	F
42.71	12.57	42.71	11.68	F
8.13	33.98	70.83	31.11	F
7.5	31.85	37.71	45.31	T
37.53	44.9	25.82	50.65	T
23.72	52.24	8.03	38.21	T
3.64	35.45	37.47	42.81	F
2.43	39.73	17.63	19.66	T
31.73	18.32	52.55	13.51	T
53.8	15.21	41.55	20.45	T
43.84	28.37	49.21	35.46	T
51.13	35.54	36.33	47.76	T
38.75	50.2	53.74	62.41	T
60.82	62.25	72.37	67.14	T
57.26	64.12	53.3	59.87	F
42.92	18.84	69.54	19.78	F
34.38	15.48	38.24	1.38	T
42.15	13.07	51.11	9.34	T
55.25	17.72	42.23	40.04	T
49.32	45.07	62.85	46.55	F
62.57	39.73	62.57	39.73	T
54.4	37.48	61.3	49.42	F
52.94	31.69	53.39	33.89	T
56.25	33.5	44.7	24.05	T
43.96	21.54	43.78	12.54	T
43.17	7.03	52.36	1.73	T
77.95	15.39	86.99	4.08	T
64.6	18.34	85.38	18.74	F
16.57	46.98	32.47	54.41	F
7.35	34.48	25.81	14.55	T
33.55	6.59	40.21	5.9	T
40.54	3.67	37.83	4.17	T
39.2	4.67	43.55	2.6	T
47.14	19.61	40.26	32.07	T
49.06	52.23	82.76	44.21	F
34.72	20.35	50.91	26.27	T
49.2	26.37	61.71	23.1	T
61.67	23.04	93.29	21.73	F
