Pass Starting Point(X)	Pass Starting Point(Y)	Pass Ending Point(X)	Pass Ending Point(Y)	Status
35.54	61.52	53.92	60.26	F
33.16	64.78	40.63	67.92	T
52.09	59.1	54.17	59.51	F
50.74	26.89	68.05	16.97	T
69.79	17.02	50.71	26.73	T
49.61	18.01	41.52	10.53	T
39.66	4.57	57.87	5.68	T
49.82	3.62	50.21	3.94	F
15.59	2.98	28.71	7.31	T
85.66	27.22	99.73	14.88	T
52.82	46.25	50.69	58.57	T
64.93	49.33	54.59	44.01	T
53.5	42.75	40.21	15.44	T
36.97	15.44	45.57	11.71	T
44.97	8.24	58.22	16.1	T
59.44	17.17	34.25	16.8	T
30.04	16.94	26.53	48.21	T
39.0	58.57	68.03	64.2	F
24.32	65.49	8.36	60.55	T
16.61	56.45	28.19	65.98	T
31.16	64.97	28.56	45.51	T
28.38	38.84	14.41	24.89	T
14.22	24.45	17.78	44.41	T
21.62	49.83	38.04	64.43	T
59.01	58.87	68.92	67.99	T
86.13	66.7	79.19	58.06	F
19.19	28.18	41.79	10.78	T
42.84	9.99	29.61	16.41	T
35.78	14.31	25.98	48.75	T
42.03	38.79	87.87	17.47	F
35.33	45.1	33.73	33.48	T
31.53	34.38	23.13	30.27	F
27.23	0.77	22.85	14.44	T
23.05	11.16	28.6	2.46	T
28.04	1.9	39.25	14.39	T
75.01	28.77	85.28	39.74	T
85.96	42.67	80.74	46.03	F
35.68	55.44	64.41	65.31	T
37.48	67.15	46.26	66.08	F
31.8	57.81	52.59	65.21	F
39.6	52.25	35.4	37.89	T
33.27	31.35	26.53	21.23	T
32.15	34.34	66.31	43.45	T
77.95	36.82	80.89	15.62	F
42.16	46.99	57.22	38.63	F
27.07	32.36	46.78	23.48	F
28.17	15.59	25.69	27.99	T
27.58	27.92	51.36	10.36	F
8.69	23.6	11.94	22.44	T
18.33	24.93	1.58	28.08	T
6.08	34.41	37.05	38.01	F
30.52	39.48	56.09	34.15	T
57.28	33.73	53.04	19.58	F
12.02	18.84	24.73	14.67	T
31.35	14.79	30.87	8.32	T
49.44	34.76	103.76	44.18	T
52.52	45.19	53.84	27.95	T
48.14	18.62	64.34	6.93	T
37.03	38.58	50.18	12.91	T
46.0	15.44	30.39	53.41	T
36.47	54.92	10.79	42.4	T
8.85	38.93	60.14	43.4	T
66.98	37.24	66.98	37.24	T
70.79	31.95	83.16	41.47	T
97.12	31.01	99.05	7.64	T
38.9	50.97	63.83	56.24	T
35.3	41.18	48.65	40.12	T
49.83	38.82	51.59	33.04	T
44.38	17.76	55.15	19.55	T
51.01	23.06	50.22	11.5	F
22.88	28.27	9.66	31.71	T
7.63	32.81	21.3	16.7	T
14.37	9.9	17.61	30.49	T
12.72	26.79	16.41	8.81	T
44.7	12.97	66.17	19.51	F
